L_u,m_abs_u,L_g,m_abs_g,L_r,m_abs_r,L_i,m_abs_i,L_z,m_abs_z,L_y,m_abs_y
1.029843556485769e-26,18.363288093361653,9.765515714167078e-27,18.420978275485037,9.176480345430445e-27,18.488525886599685,8.720879404514665e-27,18.543815531110802,8.379662630796932e-27,18.587149898285965,8.105011433026706e-27,18.62333215397059
1.0718448809326913e-26,18.319886388166193,1.0155752611700302e-26,18.378435950569486,9.538342856607612e-27,18.446533910652192,9.062369062099295e-27,18.502111871715474,8.706458698512983e-27,18.545612373070853,8.42024045321311e-27,18.5819049993883
1.1118473630915486e-26,18.280103307450155,1.0527279172992601e-26,18.339425883119837,9.882777288057181e-27,18.408018712253714,9.387374687998124e-27,18.4638558518436,9.017460033551961e-27,18.507505668110014,8.72022121930209e-27,18.543897477259783
1.1495929909475502e-26,18.24385596536848,1.0877727670067559e-26,18.303870778954217,1.0207604686142582e-26,18.372906626954897,9.693847906855114e-27,18.428975729713304,9.310710648988209e-27,18.472759158004397,9.003069655011922e-27,18.509239707960365
1.1848571132813528e-26,18.211051283052797,1.1205039034776788e-26,18.271682798943157,1.051093156897627e-26,18.34111321188858,9.980009385033793e-27,18.397388859258506,9.584511829836515e-27,18.441291239095985,9.267149727653446e-27,18.477850783748593
1.217452337234928e-26,18.181586314068785,1.1507498484411768e-26,18.24276391756677,1.0791182635022433e-26,18.312543626477257,1.0244379543403728e-26,18.369002082873838,9.837451441602269e-27,18.413009729329833,9.51110166729299e-27,18.449639173445938
1.2472310723556837e-26,18.155348928674005,1.1783758677706135e-26,18.217006633711957,1.1047121968140735e-26,18.287093361092655,1.0485798442360716e-26,18.34371246982288,1.0068422892071531e-26,18.387812612441945,9.7338602148806e-27,18.424503470544956
1.2740866827125922e-26,18.132218792719762,1.2032850059710996e-26,18.194294970911603,1.1277862430913793e-26,18.264649251749795,1.0703434552302954e-26,18.32140833885863,1.0276633474063498e-26,18.36558906529322,9.934662638060859e-27,18.402333423747738
1.2979532923014365e-26,18.11206857254951,1.2254178821927065e-26,18.17450569952447,1.1482863645105771e-26,18.24509071407558,1.08967827875876e-26,18.301970498688537,1.0461602451777625e-26,18.346220702209543,1.011304686501266e-26,18.383011183946913
1.318804362005259e-26,18.094765296180086,1.2447513574220834e-26,18.15750971210277,1.166191957473172e-26,18.228291128418917,1.1065652761642276e-26,18.285273638478635,1.0623149806860968e-26,18.329582968712735,1.0268840619803077e-26,18.36641270016054
1.3366502133829995e-26,18.08017180334951,1.261296234737609e-26,18.14317348532679,1.1815137207468526e-26,18.214119309994885,1.1210148672180778e-26,18.27118780256023,1.07613769911384e-26,18.31554661896283,1.0402142857656029e-26,18.352409198846022
1.35153471245802e-26,18.06814822228074,1.2750941891651098e-26,18.13136056700416,1.1942908148336587e-26,18.20244100297819,1.133064252427769e-26,18.259579888474853,1.0876641318104028e-26,18.30397921617522,1.0513299073100011e-26,18.34086868594167
1.3635313448466964e-26,18.05855341861013,1.286214140188274e-26,18.121933034099094,1.2045875090718121e-26,18.193120344844523,1.1427742540726772e-26,18.250315114832098,1.0969525760332978e-26,18.294746602589466,1.0602872183916859e-26,18.331657418280724
1.3727389135089778e-26,18.051246371101175,1.2947482797455933e-26,18.114752876812375,1.212489512678354e-26,18.186021256239233,1.1502258605842363e-26,18.24325841439673,1.1040805916611778e-26,18.287714294485664,1.0671610690421835e-26,18.32464129992674
